lat,lon,value
52.0256224,1.2149867,"70 mph"
52.024033,1.2304759,"70 mph"
52.024033,1.2304759,"70 mph"
52.025903,1.2381684,"70 mph"
52.025903,1.2381684,"70 mph"
52.0277752,1.2441989,"70 mph"
52.0277752,1.2441989,"70 mph"
52.0242591,1.2277642,"70 mph"
52.0242533,1.2329575,"70 mph"
52.0278811,1.2452065,"70 mph"
52.0275835,1.2431158,"70 mph"
52.0273246,1.2421081,GB:nsl_dual
52.0245084,1.2340812,GB:nsl_dual
52.0249804,1.2240204,GB:nsl_dual
52.0253551,1.221534,GB:nsl_dual
52.0244371,1.226756,GB:nsl_dual
52.0240387,1.2300658,GB:nsl_dual
52.025565,1.2187525,GB:nsl_dual
52.0254755,1.2202358,GB:nsl_dual
52.0255994,1.2177226,GB:nsl_dual
52.0240557,1.2311876,GB:nsl_dual
52.0241707,1.2324208,GB:nsl_dual
52.0279155,1.2459358,GB:nsl_dual
52.0278941,1.2470419,GB:nsl_dual
52.0247675,1.2349669,GB:nsl_dual
52.0248397,1.2248385,GB:nsl_dual
52.0270475,1.2412661,GB:nsl_dual
52.0251872,1.2227168,GB:nsl_dual
52.0240794,1.2290606,GB:nsl_dual
52.0240928,1.2316856,GB:nsl_dual
52.0256224,1.2164807,GB:nsl_dual
52.0255351,1.2193989,GB:nsl_dual
52.0255351,1.2193989,GB:nsl_dual
52.0256082,1.214123,GB:nsl_dual
52.0256082,1.214123,GB:nsl_dual
52.0256224,1.2149867,GB:nsl_dual
52.0256224,1.2149867,GB:nsl_dual
52.024033,1.2304759,GB:nsl_dual
52.024033,1.2304759,GB:nsl_dual
52.025903,1.2381684,GB:nsl_dual
52.025903,1.2381684,GB:nsl_dual
52.0277752,1.2441989,GB:nsl_dual
52.0277752,1.2441989,GB:nsl_dual
52.0242591,1.2277642,GB:nsl_dual
52.0242533,1.2329575,GB:nsl_dual
52.0278811,1.2452065,GB:nsl_dual
52.0275835,1.2431158,GB:nsl_dual
52.0269809,1.2552589,"70 mph"
52.026894,1.2549752,"70 mph"
52.0280088,1.2562833,"70 mph"
52.0270872,1.2554551,"70 mph"
52.0273553,1.2557808,"70 mph"
52.0268182,1.254489,"70 mph"
52.0313461,1.0896053,"30 mph"
52.0314458,1.0837018,"30 mph"
52.0315063,1.0832874,"30 mph"
52.0312891,1.0869121,"30 mph"
52.0311149,1.0874013,"30 mph"
52.0310673,1.0878562,"30 mph"
52.031363,1.0891179,"30 mph"
52.0313683,1.0895042,"30 mph"
52.030835,1.0919332,"30 mph"
52.0305551,1.0923795,"30 mph"
52.028992,1.0933837,"30 mph"
52.0314889,1.0834066,"30 mph"
52.0314032,1.0846664,"30 mph"
52.0313461,1.0896053,survey
52.0314458,1.0837018,survey
52.0315063,1.0832874,survey
52.0312891,1.0869121,survey
52.0311149,1.0874013,survey
52.0310673,1.0878562,survey
52.031363,1.0891179,survey
52.0313683,1.0895042,survey
52.030835,1.0919332,survey
52.0305551,1.0923795,survey
52.028992,1.0933837,survey
52.0314889,1.0834066,survey
52.0314032,1.0846664,survey
52.0036796,1.1151016,"60 mph"
52.0034579,1.1148423,"60 mph"
52.0103163,1.1200287,"60 mph"
52.0096847,1.1200901,"60 mph"
52.0082339,1.118132,"60 mph"
52.0058687,1.1170035,"60 mph"
52.004389,1.1158742,"60 mph"
52.0064681,1.1173633,"60 mph"
52.0078165,1.1177457,"60 mph"
52.0054787,1.1166888,"60 mph"
52.009893,1.1201769,"60 mph"
52.0051557,1.1164474,"60 mph"
52.008915,1.1190532,"60 mph"
52.0100603,1.1201457,"60 mph"
52.0107847,1.1216284,"60 mph"
52.0096847,1.1200901,"60 mph"
52.0103781,1.1210598,"60 mph"
52.0576024,1.2311938,"30 mph"
52.0578892,1.2311342,"30 mph"
52.057268,1.2311967,"30 mph"
52.0574715,1.2290602,"30 mph"
52.0575902,1.2273414,"30 mph"
52.0562908,1.2273161,"30 mph"
52.0568329,1.2273265,"30 mph"
52.0568276,1.2261849,"30 mph"
52.0564328,1.2261798,"30 mph"
52.0508242,1.1206547,"40 mph"
52.0502369,1.1191567,"40 mph"
52.0513724,1.1216855,"40 mph"
52.0511419,1.1212521,"40 mph"
52.0505379,1.1200121,"40 mph"
52.0468235,1.1077911,"40 mph"
52.0471496,1.1091688,"40 mph"
52.0469832,1.1084003,"40 mph"
52.0468208,1.1077838,"40 mph"
52.0482131,1.1142467,"30 mph"
52.0459573,1.1072312,"30 mph"
52.04642,1.1079361,"30 mph"
52.0465349,1.1082508,"30 mph"
52.0467803,1.1091211,"30 mph"
52.0469709,1.109804,"30 mph"
52.0471969,1.1106207,"30 mph"
52.047643,1.112278,"30 mph"
52.0480636,1.1138107,"30 mph"
52.048469,1.114805,"30 mph"
52.0495299,1.1170605,"30 mph"
52.0498896,1.1182574,"30 mph"
52.0459852,1.1072735,"30 mph"
52.0463216,1.1077094,"30 mph"
52.0466533,1.1086136,"30 mph"
52.0490501,1.1158416,"30 mph"
52.0492979,1.1163875,"30 mph"
52.0491662,1.1182705,"30 mph"
52.0493144,1.1191382,"30 mph"
52.0493321,1.1196377,"30 mph"
52.0479653,1.1154716,"30 mph"
52.0483818,1.11638,"30 mph"
52.0489345,1.1175196,"30 mph"
52.0492425,1.1186132,"30 mph"
52.0495299,1.1170605,"30 mph"
52.0489345,1.1175196,"30 mph"
